編號,名稱,地區,地址,電話,營業時間
72,竹湖暐順麗緻文旅,Hsinchu,300新竹市東區光明里1鄰大學路16號,03-5715888,24小時
73,達龍商旅,Hsinchu,300新竹市東區新竹市東園里4鄰光復路二段808號,03-5166666,24小時
74,水蜜桃時尚旅店,Hsinchu,300新竹市東區民族路29號,03-5234138,24小時
75,琺何旅館有限公司,Hsinchu,300新竹市東區新竹市東區振興里振興路109號,03-5610011,24小時
76,安琪拉的魔法屋,Hsinchu,新竹市長春街40巷10號,03-5637150,週三-六11:30-20:00
77,蘇格貓底二手書咖啡屋,Hsinchu,新竹市光復路二段101號,03-5736096,已停業
78,柑仔店-帝國店,Hsinchu,新竹市光復路二段295號B1(帝國大夏),03-5715566,10:00-21:00
79,愛家農場,Hsinchu,新竹市景觀大道201號,03-533-9280,週二-日11:00-21:00
80,夏卡瓦咖啡餐廳,Hsinchu,新竹市三民路105號1樓,03-533-8666,11:00-21:30
81,JadeDecor尼奧家飾,Hsinchu,新竹市東區綠水里學府路375之3號一樓,03-5716699,周一-五9:00-18:00
82,小百合咖啡屋LilyCafe,Hsinchu,新竹市世界街154號,03-5233771,周一四五10:00-17:00周六10:00-20:30
83,進益摃丸文化會館,Hsinchu,新竹市北門街31號,03-5515837,9:00-21:00
84,新竹‧好日手作咖啡雜貨,Hsinchu,新竹市三民路12號,03-5353309,週二-日10:00-17:00
85,自由者咖啡館,Hsinchu,新竹市科學園路205-2號,03-5778804,已停業
86,墨咖啡,Hsinchu,新竹市林森路180號,03-5220608,12:00-23:00
87,直達咖啡,Hsinchu,新竹市光復路1段544巷9弄14樓,03-6669582,11:00-19:00
88,巷弄田園咖啡,Hsinchu,新竹市東大路二段605巷50號,03-5327566,11:00-19:00
89,佈拉諾咖啡館,Hsinchu,新竹市三民路40號,03-5322593,12:00-18:00周三公休
90,茉莉小鎮,Hsinchu,新竹市博愛街114號,03-5729032,11:00-14:30 17:00-20:30 周一公休
91,卡巴尼那義大利老媽鄉村餐坊,Hsinchu,新竹市東大路二段73號,03-5321640,11:30-14:30 17:30-22:00 周一公休
92,貝克里麵包專門店,Hsinchu,新竹市西大路429號,03-5250778,11:00-21:00
93,班多尼翁咖啡館,Hsinchu,新竹市忠孝路279號之3,03-5730986,已停業
94,LivingOne篤行館,Hsinchu,新竹市篤行路1號,03-5775252,週六日10:00-18:00
95,布蕾咖啡,Hsinchu,新竹市長春街64巷2號,03-5775006,8:30-21:00
96,人文年代咖啡館,Hsinchu,新竹市北大路140號,03-5336162,已停業
97,法芙嵐法式烘焙,Hsinchu,新竹市仁愛街87巷1號,03-5350398,已停業
98,新竹市玻璃工藝博物館,Hsinchu,新竹市東大路一段2號,03-5626091,國定假日與每週星期一公休
99,新竹市影像博物館,Hsinchu,新竹市中正路65號,03-5285840,國定假日與每週星期一公休
100,新竹市眷村博物館,Hsinchu,新竹市東大路二段105號,03-5338442,國定假日與每週星期一公休
101,黑蝙蝠中隊文物陳列館,Hsinchu,新竹市東大路二段16號,03-5425061,國定假日與每週星期一公休
102,新復珍戲院股份有限公司,Hsinchu,30044新竹市北門街6號,03-5248285,24小時
103,國際中興影城有限公司,Hsinchu,30042新竹市林森路32號,03-5237077,24小時
104,新竹國際大戲院股份有限公司,Hsinchu,30041新竹市文昌街39號,03-5222134,24小時
105,威秀影城股份有限公司新竹南門分公司,Hsinchu,30041新竹市西大路323號,03-5241166,24小時
106,威秀影城股份有限公司新竹巨城分公司,Hsinchu,30043新竹市民權路176號4樓之3,03-5346999,24小時
107,華威影城有限公司,Taipei,士林區忠誠路2段202號4樓,2876-3300,24小時
108,光點華山電影館,Taipei,中正區八德路2段1號,2394-0622,24小時
109,東南亞秀泰影城,Taipei,中正區羅斯福路4段136巷3號,2367-8999,24小時
110,首都戲院,Taipei,松山區長安東路2段219號2樓,2741-1599,24小時
111,總督戲院,Taipei,松山區長安東路2段219號3樓,2741-5991,24小時
112,誠品電影院,Taipei,信義區菸廠路80號地下2樓,6636-5888,24小時
113,台北新光影城,Taipei,萬華區西寧南路36號4樓,2314-6668,24小時
114,陽明戲院實業股份有限公司 ,Taipei,士林區文林路113號,2881-4636,24小時
115,朝代大戲院,Taipei,大同區民權西路136號4樓,2557-1380,24小時
116,南山大戲院 ,Taipei,大安區通化街24巷1號,2706-8222,24小時
117,台北之家(光點台北),Taipei,中山區中山北路2段18號,2511-7786,24小時
118,美麗華皇家影城,Taipei,中山區北安路780號B2樓,7718-8588,24小時
119,國賓影城@長春廣場,Taipei,中山區長春路172號,2515-5757,24小時
120,國賓影城@長春廣場,Taipei,中山區長春路176號,2515-5757,24小時
121,哈拉數位影城,Taipei,內湖區康寧路3段72號3至4樓,2632-2693,24小時
122,國賓大戲院,Taipei,萬華區成都路88號,2361-1222,24小時
123,樂聲大戲院股份有限公司,Taipei,萬華區武昌街2段85號,2311-8628,24小時
124,今日大戲院,Taipei,萬華區峨眉街52號5樓,2375-1669,24小時
125,金馬大戲院,Taipei,萬華區峨眉街52號7樓,2375-1669,24小時
126,鳳凰大戲院,Taipei,萬華區峨眉街52號9樓,2375-1669,24小時
127,中影股份有限公司真善美分公司,Taipei,萬華區漢中街116號7樓,2331-2270,24小時
128,欣欣秀泰影城,Taipei,中山區林森北路247號3至5樓,2537-1889,24小時
129,劍潭海外青年活動中心,Taipei,臺北市士林區中山北路4段16號,02-2885-2151,24小時
130,沃田旅店,Taipei,臺北市士林區中山北路7段127號,02-2875-2288,24小時
131,?美精品飯店,Taipei,臺北市士林區天玉街38巷14號1-5樓,02-2873-0333,24小時
132,中華電信陽明山會館,Taipei,臺北市士林區菁山路131巷8號,02-2861-6553,24小時
133,漫步1948旅店,Taipei,臺北市大同區太原路42號,02-2558-8812,24小時
134,台北北門窩泊旅,Taipei,臺北市大同區太原路92巷2-1號,02-2552-5068,24小時
135,西悠飯店台北店,Taipei,臺北市大同區民生西路198號之2,02-2558-5500,24小時
136,城市商旅站前館,Taipei,臺北市大同區延平北路1段51號1至3樓,02-2550-7000,24小時
137,台北君品大酒店,Taipei,臺北市大同區承德路1段3號,02-2181-9950,24小時
138,一九一旅店,Taipei,臺北市大同區南京西路165號6樓,02-2555-9711,24小時
139,城市商旅-南西館,Taipei,臺北市大同區南京西路169號,02-2550-7722,24小時
140,雀爾喜精品旅館,Taipei,臺北市大同區南京西路288號5樓,02-2559-6221,24小時
141,一九一旅店寧夏店,Taipei,臺北市大同區寧夏路11號2樓,02-2555-1593,24小時
142,台北商旅(大安館),Taipei,臺北市大安區大安路1段135號,02-8773-3799,24小時
143,怡品商旅,Taipei,臺北市大安區忠孝東路4段87號14樓,02-2776-6136,24小時
144,東門3號膠囊旅店,Taipei,臺北市大安區信義路2段110號,02-2358-3299,24小時
145,丹迪旅店 大安森林公園店,Taipei,臺北市大安區信義路3段33號,02-2707-6899,24小時
146,多郎明哥旅館,Taipei,臺北市大安區信義路3段73號2樓,02-2700-1200,24小時
147,富邦旅館,Taipei,臺北市大安區信義路4段30巷23號,02-6626-0658,24小時
148,福容大飯店 台北,Taipei,臺北市大安區建國南路1段266號,02-2701-9266,24小時
149,柯達大飯店 台北敦南,Taipei,臺北市大安區敦化南路2段238號,02-2732-3333,24小時
150,台北馥華商旅松江館,Taipei,臺北市中山區一江街3號,02-2511-8896,24小時
151,美麗信花園酒店,Taipei,臺北市中山區市民大道3段83號,02-7702-8800,24小時
152,優美飯店,Taipei,臺北市中山區民生東路1段28號,02-2525-5678,24小時
153,台北發現青年旅舍,Taipei,臺北市中山區民權東路2段21號5樓、6樓,02-2595-0209,24小時
154,銀座飯店,Taipei,臺北市中山區林森北路289號4樓,02-2562-7733,24小時
155,晴美公寓酒店,Taipei,臺北市中山區林森北路568號,02-6619-8888,24小時
156,洛碁大飯店股份有限公司,Taipei,臺北市中山區林森北路617號,02-2595-1100,24小時
157,斯格加旅店,Taipei,臺北市中山區林森北路72號,02-2562-9117,24小時
158,雀客旅館股份有限公司,Taipei,臺北市中山區松江路253號,02-2500-7100,24小時
159,喜瑞飯店,Taipei,臺北市中山區長安東路1段64號,02-2541-0077,24小時
160,大地清旅旅店,Taipei,臺北市中山區長安東路2段246號4樓,02-2711-0102,24小時
161,背包棧旅店-台北長春店,Taipei,臺北市中山區長春路258巷6號2樓,02-2518-0188,24小時
162,京都商務旅館,Taipei,臺北市中山區長春路38號,02-2567-3366,24小時
163,東京國際飯店,Taipei,臺北市中山區長春路39號,02-2564-3733,24小時
164,台北有園飯店,Taipei,臺北市中山區南京東路3段16號,02-2516-1610,24小時
165,享樂文旅開封店,Taipei,臺北市中山區開封街1段35號,02-2361-5889,24小時
166,(IMOON HOTEL新月商旅),Taipei,臺北市中山區新生北路1段122號,02-2561-7400,24小時
167,台糖台北會館,Taipei,臺北市中正區中華路1段39號,02-2388-5522,24小時
168,捷絲旅台北西門館,Taipei,臺北市中正區中華路1段41號5樓,02-2370-9000,24小時
169,家美旅店,Taipei,臺北市中正區北平東路12號,02-2358-1234,24小時
170,瘋台北青旅,Taipei,臺北市中正區延平南路21號2樓,02-2382-1818,24小時
171,力歐時尚旅館,Taipei,臺北市中正區延平南路9號,02-2314-5296,24小時
172,和逸飯店台北忠孝館,Taipei,臺北市中正區忠孝東路1段31號,02-7725-3399,24小時
173,星辰旅館 (喜來登),Taipei,臺北市中正區金山南路1段80號,02-2397-1377,24小時
174,台灣青旅,Taipei,臺北市中正區青島西路11號地下1樓,02-2361-3000,24小時
175,新尚旅店,Taipei,臺北市中正區信義路2段73號,02-2395-9009,24小時
176,悠逸行旅中正館,Taipei,臺北市中正區重慶南路3段38號,02-2333-1277,24小時
177,109 Hostel Taipei 台北109青旅,Taipei,臺北市中正區博愛路36號3樓,02-2375-2109,24小時
178,城美大飯店,Taipei,臺北市中正區漢口街1段88號,02-2314-7305,24小時
179,新驛旅店(西門捷運店),Taipei,臺北市中正區衡陽路124號1-7樓,02-7725-2288,24小時
180,皇家飯店(懷寧街),Taipei,臺北市中正區懷寧街5-1號,02-23111668,24小時
181,新驛旅店台北車站一館,Taipei,臺北市中正區懷寧街7號,02-2314-8008,24小時
182,帥客大旅社,Taipei,臺北市中正區羅斯福路1段90巷2號,02-2322-3885,24小時
183,儷園飯店,Taipei,臺北市中正區羅斯福路3段98號,02-2365-7367,24小時
184,瑪奇商務旅店,Taipei,臺北市文山區景中街30巷6號3樓,02-2932-1000,24小時
185,途中台北國際青年旅舍,Taipei,臺北市北投區光明路82號1樓至5樓,02-2891-0230,24小時
186,立德北投溫泉飯店,Taipei,臺北市北投區幽雅路11號1-3樓,02-2897-3611#2007,24小時
187,漾館溫泉商旅,Taipei,臺北市北投區溫泉路63號,02-2891-1118,24小時
188,台北碧瑤飯店,Taipei,臺北市松山區八德路2段367號(營建署對面）,02-2781-3121,24小時
189,蒲園飯店,Taipei,臺北市松山區八德路4段176號,02-2753-0772,24小時
190,小雅旅店,Taipei,臺北市松山區八德路5段616號5樓,02-2763-1122,24小時
191,小公館人文旅舍,Taipei,臺北市松山區南京東路5段399號5樓,02-2769-0200,24小時
192,城市商旅台北南東館,Taipei,臺北市松山區南京東路5段411號,02-2742-5888,24小時
193,瑞格商旅,Taipei,臺北市松山區復興北路307號,02-2713-8600,24小時
194,台北商旅 (慶城館),Taipei,臺北市松山區慶城街12號,02-8712-7688,24小時
195,台北馥華商旅南港館,Taipei,臺北市南港區三重路23號,02-6615-6788,24小時
196,福泰桔子商旅西門店,Taipei,臺北市萬華區中華路1段 166 號之 2,02-2311-5556,24小時
197,台北漫步旅店,Taipei,臺北市萬華區成都路163號,02-23831334,24小時
198,美觀園旅社,Taipei,臺北市萬華區西寧南路90巷13號,02-2331-4123,24小時
199,恩典驛站(大可居青年旅館),Taipei,臺北市萬華區昆明街316號,02-2308-0066,24小時
200,背包棧旅店-西門店,Taipei,臺北市萬華區康定路25巷13號,02-8978-3666,24小時
201,力歐時尚旅館(西門館),Taipei,臺北市萬華區康定路25巷36弄4號,02-2388-9855,24小時
202,享樂文旅飯店股份有限公司(康定館),Taipei,臺北市萬華區康定路32號,02-2361-5868,24小時
203,華麗大飯店,Taipei,臺北市萬華區康定路41號,02-2381-8111,24小時
204,凱達大飯店,Taipei,臺北市萬華區艋舺大道167號,02-2306-6777,24小時
205,中山運動中心按摩小站,Taipei,臺北市中山區中山北路2段44巷2號,02-2581-1060,週一至週日9：00AM-5：00PM
206,臺北長庚醫院按摩小站,Taipei,臺北市大安區敦化北路199號,02-2713-5211,週一至週五9：00AM-5：30PM 周六9：00AM-13：30PM
207,臺北市政府珍愛按摩服務坊,Taipei,臺北市市府路1號1樓,02-2720-8889,09:30～18:00
208,臺北醫學院附設按摩小站,Taipei,臺北市吳興街250號,02-2736-1661,週一至週五早上9:00-下午17:00 星期六早上9:00-下午15:30
209,臺北市立聯合醫院-忠孝院區按摩小站,Taipei,臺北市南港區同德路87號2樓,02-2786-1288,週一至週五早上9:00-下午17:00
210,阿甘按摩小棧-台北車站,Taipei,臺北市北平西路3號,02-2571-0005,週一至週日早上9:00-晚上22:00
211,臺北馬偕醫院視障按摩小站,Taipei,臺北市中山北路2段92號,02-2531-2320,週一至週五早上9：00-下午17：00 週六早上9：00-下午13：00
212,臺北榮總醫院按摩小站,Taipei,臺北市石牌路201號,0912-788-310,週一至週五早上9:00-下午17:00
213,臺北市立聯合醫院-中興院區按摩小站,Taipei,臺北市鄭州路145號,02-2552-3234,週一至週五早上9:00-下午17:00 週六早上8:30-中午12:30
214,臺北市立聯合醫院-仁愛院區按摩小站,Taipei,臺北市仁愛路4段10號,0912-788-532,週一至週五早上8:30-下午17:30 週六早上8:30-中午12:30
215,永樂活力按摩小站,Taipei,臺北市迪化街一段21號1樓,02-2558-8846,週一至週日9：30AM-6：00PM
216,臺北市立聯合醫院-林森中醫院區按摩小站,Taipei,臺北市中山區林森北路530號,02-2591-6681,週一至週五早上9:00-下午17:00
217,臺北市立聯合醫院-和平院區按摩小站,Taipei,臺北市萬華區中華路2段33號,02-2238-9595,週一至週五早上9:00-下午17:00 周六早上9:00-下午13:00
218,臺北市立聯合醫院-中醫門診中心按摩小站,Taipei,臺北市萬華區中華昆明街100號,02-2388-7088,週一至週六早上9:00-下午18:00
219,中山區公所按摩小站,Taipei,臺北市松江路367號,無,週一至週五9：00～17：00
220,南港運動中心按摩小站,Taipei,臺北市玉成街南港運動中心,02-2653-2279,週六、週日12：00～20：00
221,壹咖啡,Taipei,台北市中正區汀州路三段125號,02-23682212,平日8:00-20:00 週六10:00-20:00
222,壹咖啡,Taipei,大直街56號1樓,02-25333900,平日8:00-20:00 週六10:00-20:00
223,壹咖啡,Taipei,忠順街一段101號,02-29366313,平日8:00-20:00 週六10:00-20:00
224,壹咖啡,Taipei,德惠街3巷1號之2,02-25991980,平日8:00-20:00 週六10:00-20:00
225,STARBUCKS COFFEE,Taipei,鄭州路8號B1,02-23316359,7:00-22:30
226,STARBUCKS COFFEE,Taipei,松江路54號1樓,02-2523-5112,7:00-22:30
227,STARBUCKS COFFEE,Taipei,庫倫街51號、51-1號及承德路三段263號2樓之一,02-25928122,7:00-22:30
228,STARBUCKS COFFEE,Taipei,和平東路一段2號,2369-4200,7:00-22:30
229,STARBUCKS COFFEE,Taipei,羅斯福路三段301號,2364-6845,7:00-22:30
230,STARBUCKS COFFEE,Taipei,木柵路三段75號,2234-3305,7:00-22:30
231,STARBUCKS COFFEE,Taipei,懷寧街10號1-3樓,2389-3776,7:00-22:30
232,STARBUCKS COFFEE,Taipei,忠孝東路五段8號2樓,2722-6292,7:00-22:30
233,STARBUCKS COFFEE,Taipei,東興路65號1樓,2746-6635,7:00-22:30
234,STARBUCKS COFFEE,Taipei,八德路四段138號1樓,8761-6614,7:00-22:30
235,STARBUCKS COFFEE,Taipei,八德路三段10號,2579-3016,7:00-22:30
236,STARBUCKS COFFEE,Taipei,民生東路三段105號,2712-0428,7:00-22:30
237,STARBUCKS COFFEE,Taipei,民生東路三段156-1號,2719-2682,7:00-22:30
238,STARBUCKS COFFEE,Taipei,民生東路五段158號,2767-6603,7:00-22:30
239,STARBUCKS COFFEE,Taipei,敦化南路二段263號,2732-0326,7:00-22:30
240,STARBUCKS COFFEE,Taipei,大直街70號1樓,2532-5223,7:00-22:30
241,STARBUCKS COFFEE,Taipei,民權東路三段88號,2504-4751,7:00-22:30
242,咖啡弄,Taipei,台北市忠孝東路四段101巷45號1樓,02-2711-1912,12:00-22:00
243,咖啡弄,Taipei,台北市敦化南路一段187巷42號2樓,02-2711-1910,12:00-22:00
244,咖啡弄,Taipei,台北市中正路253號2樓,02-2888-3322,12:00-22:00
245,咖啡弄,Taipei,台北市館前路18號2樓,02-2388-3000,12:00-22:00
246,咖啡弄,Taipei,台北市文林路132號2樓,02-2883-5777,12:00-22:00
247,Smith&Hsu,Taipei,台北市忠孝東路5段8號統一時代百貨6樓,02-87862877,11:00-21:30
248,Smith&Hsu,Taipei,台北市南京東路一段 36 號,02-25625565,10:00-22:00
249,Agnes b. CAF? L.P.G.,Taipei,台北市復興南路一段39號2樓,02-8772-5752,11:00-21:30
250,Agnes b. CAF? L.P.G.,Taipei,台北市松高路11號1樓,02-2722-6107,11:00-21:30
251,Agnes b. CAF? L.P.G.,Taipei,台北市承德路一段1號,02-2552-6370,11:00-21:30
252,Agnes b. CAF? L.P.G.,Taipei,台北市市府路45號B1,02-8101-7937,11:00-21:30
253,歐客佬精品咖啡,Taipei,台北市中山區錦州街296號,02-2517-6606,8:00-20:00
254,歐客佬精品咖啡,Taipei,台北市中山區民權東路2段51號,02-2591-8856,11:00-19:00
255,歐客佬精品咖啡,Taipei,臺北市中山區松江路132巷5-2號,02-2581-7780,8:00-20:00
256,歐客佬精品咖啡,Taipei,台北市大安區安和路一段49巷11號-1,02-2721-6659,8:00-20:00
257,歐客佬精品咖啡,Taipei,台北市中正區博愛路124號,02-2361-5589,8:00-20:00
258,丹堤咖啡,Taipei,台北市內湖區瑞光路392號1樓,02-87982834,7:00-21:00
259,丹堤咖啡,Taipei,台北市中山區復興北路398號,02-25036312,7:00-21:00
260,丹堤咖啡,Taipei,台北市中山區民權東路二段148號,02-25040238,7:00-21:00
261,丹堤咖啡,Taipei,台北市北投區石牌路二段6號,02-28234918,7:00-21:00
262,Ikari Coffee 怡客咖啡,Taipei,臺北市 信義區 臺北市信義區逸仙路50巷12號,02-23450714,7:00-21:00
263,Ikari Coffee 怡客咖啡,Taipei,臺北市 中正區 臺北市中正區南昌路一段20號,02-23968582,7:00-21:00
264,Ikari Coffee 怡客咖啡,Taipei,臺北市 大安區 臺北市大安區仁愛路4段304號,02-27051660,7:00-21:00
265,Ikari Coffee 怡客咖啡,Taipei,臺北市 中山區 臺北市中山區松江路71號,02-25156411,7:00-21:00
266,Ikari Coffee 怡客咖啡,Taipei,臺北市 大安區 臺北市大安區信義路4段265巷10號,02-27059598,7:00-21:00
267,Caffe Chat 咖啡講,Taipei,台北市中山區南京東路2段62號,02-2511-8817,7:00-21:00
268,Caffe Chat 咖啡講,Taipei,台北市松山區復興北路145號,02-2718-3100,7:00-21:00
269,Caffe Chat 咖啡講,Taipei,台北市中山區四平街50號,02-2531-2818,7:00-21:00
270,路易莎咖啡,Taipei,台北市中正區紹興街4-1號,02-2321-5938,7:00-21:00
271,路易莎咖啡,Taipei,台北市中正區桃源街12號,02-2370-8538,7:00-21:00
272,路易莎咖啡,Taipei,台北市中正區延平南路214號,02-2361-0718,7:00-21:00
273,路易莎咖啡,Taipei,台北市中正區杭州南路一段153號,02-2327-8819,7:00-21:00
274,路易莎咖啡,Taipei,台北市中正區重慶南路一段77-2號,02-2311-4088,7:00-21:00
275,路易莎咖啡,Taipei,台北市中正區忠孝西路一段38號B1-B櫃,02-2311-3800,7:00-21:00
276,路易莎咖啡,Taipei,台北市中正區臨沂街27巷9-4號,02-2357-0057,7:00-21:00
277,路易莎咖啡,Taipei,台北市中正區新生南路一段130號,02-2343-5831,7:00-21:00
278,路易莎咖啡,Taipei,台北市中正區南昌路二段115號,02-2362-6229,7:00-21:00
279,路易莎咖啡,Taipei,台北市中正區延平南路13號,02-2361-6909,7:00-21:00
280,路易莎咖啡,Taipei,台北市中正區信陽街5號之2,02-2311-6191,7:00-21:00
281,路易莎咖啡,Taipei,台北市中正區南海路24號,02-2322-4973,7:00-21:00
282,CAMA,Taipei,裕民四路3號,02-28227330,7:00-20:00
283,CAMA,Taipei,大安路一段170號,02-2703-9777,7:00-20:00
284,CAMA,Taipei,民生東路二段133號,02-25116393,7:00-20:00
285,CAMA,Taipei,松高路12號A8B2,02-23459968,7:00-20:00
286,伯朗咖啡館,Taipei,北平西路3號2樓(台北火車站),02-23891552,7:00-21:00
287,伯朗咖啡館,Taipei,承德路三段131號(近民權西路口),02-25995369,7:00-21:00
288,伯朗咖啡館,Taipei,重慶北路三段57號(昌吉街口),02-25993783,7:00-21:00
289,伯朗咖啡館,Taipei,常德街1號 (台大醫院-西址(舊)院區內),02-23819742,7:00-21:00
290,S&D咖啡,Taipei,台北市南港區昆陽街140巷1號,02-2653-0086,7:00-20:00
291,S&D咖啡,Taipei,台北市中正區中華路二段307巷4號,02-2332-7288,7:00-20:00
292,湛盧,Taipei,台北市信義區忠孝東路四段553巷6弄4號,02-2763-9909,11:00-18:00
